prefer,Kor,Eng,label
기상관련 데이터 경험 머신러닝 관련 모델링 도구 경험자 Tensorflow PyTorch 등 데이터 분석 경험자 R Tableau 등,"기상, 관련, 데이터, 경험, 머신, 러닝, 관련, 모델링, 도구, 경험, 등, 데이터, 분석, 경험, 등","tensorflow, pytorch, r, tableau",데이터 사이언티스트
블록체인 및 암호화폐 관련 기업 근무 경력 빅데이터 관련 기업 근무 경력 관련 대회 입상 수상 경력 통계분석 머신러닝 등 관련 분야 석 박사 학위 소지자 상위 수준의 영어 의사소통 및 문서 작성 능력,"블록, 체인, 및, 암호, 화폐, 관련, 기업, 근무, 경력, 빅데이터, 관련, 기업, 근무, 경력, 관련, 대회, 입상, 수상, 경력, 통계, 분석, 머신, 러닝, 등, 관련, 분야, 석, 박사, 학위, 소지, 상위, 수준, 영어, 의사소통, 및, 문서, 작성, 능력",,데이터 사이언티스트
블록체인 및 암호화폐 관련 기업 근무 경력 빅데이터 관련 기업 근무 경력 관련 대회 입상 수상 경력 통계분석 머신러닝 등 관련 분야 석 박사 학위 소지자 상위 수준의 영어 의사소통 및 문서 작성 능력,"블록, 체인, 및, 암호, 화폐, 관련, 기업, 근무, 경력, 빅데이터, 관련, 기업, 근무, 경력, 관련, 대회, 입상, 수상, 경력, 통계, 분석, 머신, 러닝, 등, 관련, 분야, 석, 박사, 학위, 소지, 상위, 수준, 영어, 의사소통, 및, 문서, 작성, 능력",,데이터 사이언티스트
관련학과 수학 통계 전산 데이터 분석 전공자 우대 ML 관련 서비스 개발 및 운영 경험자 우대 Agile 업무 환경 Scrum Sprint Squad 등 경험자 우대,"관련, 학과, 수학, 통계, 전산, 데이터, 분석, 전공자, 우대, 관련, 서비스, 개발, 및, 운영, 경험, 우대, 업무, 환경, 등, 경험, 우대","ml, agile, scrum, sprint, squad",데이터 사이언티스트
데이터 시각화 도구 Tableau 등 사용이 가능하신 분 ML 프레임워크 Pytorch Tensorflow Keras 등 활용이 가능하신 분 AWS GCP 등 클라우드 사용 경험,"데이터, 시각, 도구, 등, 사용, 분, 프레임워크, 등, 활용, 분, 등, 클라우드, 사용, 경험","tableau, ml, pytorch, tensorflow, keras, aws, gcp",데이터 사이언티스트
관련 분야 석사 박사 학위 소지하신 분 인공지능 컴퓨터공학 통계 데이터분석 등 Data centric AI에 대한 이해도가 높고 관련 개발경험이 있으신 분 자율주행 데이터셋 생성 활용 경험이 있으신 분 이미지 라이다 레이더 등등 2D 3D 데이터셋 경험 Linux 기반 개발 경험이 있으신 분,"관련, 분야, 석사, 박사, 학위, 소지, 분, 인공, 지능, 컴퓨터공학, 통계, 데이터, 분석, 등, 대한, 이해도, 관련, 개발, 경험, 분, 자율, 주행, 데이터, 셋, 생, 활용, 경험, 분, 이미지, 라이, 레이더, 등등, 데이터, 셋, 경험, 기반, 개발, 경험, 분","data, centric, ai, d, d, linux",데이터 사이언티스트
이런 경험이 있으신 분이면 더 좋아요 우대 사항 Data Science 관련 전공 통계학과 수학과 컴퓨터과학 등 석사 이상의 학력을 보유하신 분 B2C 비즈니스에서 머신러닝 모델링 경험이 있으신 분 결과와 과정에 대해 논리적으로 설명할 수 있으신 분 대용량 데이터 처리 분석 Spark 경험이 있으신 분 빠르게 실험하고 반복적인 피드백으로 모델을 개선해 나가시는 분 영어권 국가에서 학위를 취득하셨거나 혹은 영어로 업무가 가능하신 분 데이터 사이언티스트 기술 스택 데이터 처리 분석 라이브러리는 NumPy Pandas Spark 를 사용하고 있습니다 ML DL 라이브러리는 Scikit Learn Pytorch Tensorflow를 사용하고 있습니다 클라우드 컴퓨팅 서비스로 AWS를 사용하고 있습니다,"경험, 더, 우대, 사항, 관련, 전공, 통계학, 수학과, 컴퓨터과학, 등, 석사, 이상, 학력, 보유, 분, 비즈니스, 머신, 러닝, 모델링, 경험, 분, 결과, 과정, 대해, 논리, 설명, 수, 분, 용량, 데이터, 처리, 분석, 경험, 분, 실험, 반복, 피드백, 모델, 개선, 나가시, 분, 영어권, 국가, 학위, 취득, 영어, 업무, 분, 데이터, 티스, 트, 기술, 스택, 데이터, 처리, 분석, 라이브러리, 를, 사용, 라이브러리, 를, 사용, 클라우드, 컴퓨팅, 서비스, 를, 사용","data, science, b, c, spark, numpy, pandas, spark, ml, dl, scikit, learn, pytorch, tensorflow, aws",데이터 사이언티스트
1 데이터 분석 모델링을 실제 서비스에 적용 개선한 경험이 있는 분2 스스로 문제를 정의하고 가설적 구조적 사고 기반의 문제 해결 역량이 뛰어나신 분3 건강 관리 분야에 관심이 많으신 분,"데이터, 분석, 모델링, 실제, 서비스, 적용, 개선, 경험, 분, 스스로, 문제, 정의, 가설, 구조, 사고, 기반, 문제, 해결, 역량, 분, 건강, 관리, 분야, 관심, 분",,데이터 사이언티스트
데이터 사이언스 데이터 마이닝 통계학 등 관련 석사 이상 학위 금융 결제 마케팅 관련 정형 데이터 분야에서의 머신러닝 통계모델링 경험 예측 모형의 결과가 실제 온라인 서비스에 반영되고 A B테스트 수행하고 비즈니스 관점에서도 유의미한 결과를 만들어낸 경험을 가지고 계신 분 모바일 서비스 고객 데이터 관련 분석 기법 Customer Lifetime Value Retention Cohort Analysis Churn prediction 등 에 대한 이해 주도적으로 이슈나 개선점을 찾아내고 새로운 지식을 빠르게 학습하면서 열정적으로 문제를 해결하려는 분 팀원들과 서로 아이디어를 공유하고 논의할 수 있고 유관 부서와 적극적으로 커뮤니케이션 가능하신 분,"데이터, 사이언스, 데이터, 마, 이닝, 통계학, 등, 관련, 석사, 이상, 학위, 금융, 결제, 마케팅, 관련, 정형, 데이터, 분야, 머신, 러닝, 통계, 모델링, 경험, 예측, 모형, 결과, 실제, 온라인, 서비스, 반영, 테스트, 수행, 비즈니스, 관점, 유, 의미, 결과, 경험, 가지, 분, 모바일, 서비스, 고객, 데이터, 관련, 분석, 기법, 등, 대한, 이해, 주도, 이슈, 개선, 점, 지식, 학습, 열정, 문제, 해결, 분, 팀원, 서로, 아이디어, 공유, 논의, 수, 유관, 부서, 적극, 커뮤니케이션, 분","a, b, customer, lifetime, value, retention, cohort, analysis, churn, prediction",데이터 사이언티스트
임상 통계관련 논문 보유자 인공지능 및 머신러닝에 대한 이해도가 깊으신 분 임상시험 진행을 위한 통계 분석 업무 경험 보유자회사위치서울 서초구 효령로77길 28 7층,"임, 통계, 관련, 논문, 보유, 인공, 지능, 및, 머신, 러닝, 대한, 이해도, 분, 임상시험, 진행, 위, 통계, 분석, 업무, 경험, 보유, 자회사, 위치, 서울, 서초구, 효령로, 길, 층",,데이터 사이언티스트
