req,Kor,Eng,label
관련 업무 경력 3년 이상인 분 시계열 데이터를 분석하여 예측에 대한 경험이 있는 분 논문 등 알고리즘에 대해 분석 후 구현 경험이 있는 분 통계분석 인공지능 머신러닝 관련 석 박사학위 또는 이에 준하는 경력을 소지하신 분 Python 언어 사용 가능,"관련, 업무, 경력, 이상인, 분, 시계열, 데이터, 분석, 예측, 대한, 경험, 분, 논문, 등, 알고리즘, 대해, 분석, 후, 구현, 경험, 분, 통계, 분석, 인공, 지능, 머신, 러닝, 관련, 석, 박사학위, 이, 준, 경력, 소지, 분, 언어, 사용, 가능",python,데이터 사이언티스트
데이터 사이언스 관련 기업 근무 연구활동 등 업무 수행 경험 블록체인 관련 기업 근무 연구활동 등 업무 수행 경험 데이터 분석 및 머신러닝 관련 언어 SQL HQL Python R 등 활용 역량 온체인 데이터 분석에 대한 이해도 보유자 선호,"데이터, 사이언스, 관련, 기업, 근무, 연구, 활동, 등, 업무, 수행, 경험, 블록, 체인, 관련, 기업, 근무, 연구, 활동, 등, 업무, 수행, 경험, 데이터, 분석, 및, 머신, 러닝, 관련, 언어, 등, 활용, 역량, 체인, 데이터, 분석, 대한, 이해도, 보유, 선호","sql, hql, python, r",데이터 사이언티스트
데이터 사이언스 관련 실무 경력 7년 이상 또는 그에 준하는 역량 보유 대용량 데이터 분석 및 머신러닝 관련 언어 SQL HQL Python R 등 활용 능력 대용량 데이터 분석을 통해 문제를 정의하고 해결할 수 있는 능력 관련 알고리즘에 대한 논문 작성 등 분석 후 구현 경험 블록체인에 대한 비지니스적 기술적 이해도 보유자 선호 Complex Network Modeling 관련 실무경험 보유자 선호,"데이터, 사이언스, 관련, 실무, 경력, 이상, 그, 준, 역량, 보유, 용량, 데이터, 분석, 및, 머신, 러닝, 관련, 언어, 등, 활용, 능력, 용량, 데이터, 분석, 통해, 문제, 정의, 해결, 수, 능력, 관련, 알고리즘, 대한, 논문, 작성, 등, 분석, 후, 구현, 경험, 블록, 체인, 대한, 비지니스, 기술, 이해도, 보유, 선호, 관련, 실무, 경험, 보유, 선호","sql, hql, python, r, complex, network, modeling",데이터 사이언티스트
관련 업무 경력 5 10년 데이터 상용화 모델링 개발역량 등 Machine Learnig 활용 데이터 분석 가능python JAVA 개발 가능자다양한 분석 툴 SQL R 등 활용 가능고객 상품 브랜드 분석 및 비즈니스 관련 인사이트 도출 경험,"관련, 업무, 경력, 데이터, 상용, 모델링, 개발, 역량, 등, 활용, 데이터, 분석, 가능, 개발, 가능, 분석, 툴, 등, 활용, 가능, 고객, 상품, 브랜드, 분석, 및, 비즈니스, 관련, 인사이트, 도출, 경험","machine, learnig, python, java, sql, r",데이터 사이언티스트
경력사항 데이터 모델링 경력 5년 이상,"경력, 사항, 데이터, 모델링, 경력, 이상",,데이터 사이언티스트
관련 분야 경력 4년 이상이신 분 Computer vision Image Video processing 이론에 대한 전반적인 이해가 있으신 분 딥러닝 프레임워크 Tensorflow PyTorch 등 를 활용한 모델 개발 및 배포 경험이 있으신 분 대용량 데이터를 분석 및 시각화해본 경험이 있으신 분 해외 출장에 결격 사유가 없는 분 팀원들과 적극적으로 소통할 수 있는 분 주도적으로 업무를 이끌어가시는 분 제출서류 자율 양식의 이력서 필수 포함내용 성향 및 업무 가치관 개발경험 성공 및 실패 경험 협업 or 프로젝트 진행 관련 개발 성과 협업 경험을 보여줄 수 있는 포트폴리오,"관련, 분야, 경력, 이상, 분, 이론, 대한, 전반, 이해, 분, 딥, 러닝, 프레임워크, 등, 를, 활용, 모델, 개발, 및, 배포, 경험, 분, 용량, 데이터, 분석, 및, 시각, 경험, 분, 해외, 출장, 결격, 사유, 분, 팀원, 적극, 소통, 수, 분, 주도, 업무, 분, 제출, 서류, 자율, 양식, 이력서, 필수, 포함, 내용, 성향, 및, 업무, 가치관, 개발, 경험, 성공, 및, 실패, 경험, 협업, 프로젝트, 진행, 관련, 개발, 성과, 협업, 경험, 수, 포트폴리오","computer, vision, image, video, processing, tensorflow, pytorch, or",데이터 사이언티스트
데이터 사이언티스트로 이런 분을 찾아요 3년 이상의 ML DL 모델링에 기반한 프로젝트 실무 경험이 있으신 분 개인화 추천 및 고객 경험 관련 모델링 경험이 있으신 분 이커머스 및 거래 데이터 도메인에 대한 이해도 혹은 관련 근무 경험이 있으신 분 Python과 SQL 프로그래밍을 능숙하게 다룰 수 있으신 분 ML DL에 대한 동작 방식과 수학적 원리에 대한 이해도가 있으신 분 함께 협업하는 사람들과 유연하게 의사소통 할 수 있으신 분,"데이터, 사이언티, 스트로, 분, 이상, 모델링, 기반, 프로젝트, 실무, 경험, 분, 개인화, 추천, 및, 고객, 경험, 관련, 모델링, 경험, 분, 이커머스, 및, 거래, 데이터, 도메인, 대한, 이해도, 관련, 근무, 경험, 분, 과, 프로그래밍, 수, 분, 대한, 동작, 방식, 수학, 원리, 대한, 이해도, 분, 협업, 사람, 의사소통, 수, 분","ml, dl, python, sql, ml, dl",데이터 사이언티스트
1 Data Science 관련 전공자 통계 수학 컴퓨터공학 산업공학 등 또는 그에 해당하는 지식을 갖추신 분2 ML DL 모델링 업무 경력 4 10년 이하 이신 분2 추천 알고리즘 자연어 처리 NLP Clustering 예측 모델 수립 최적화 경험이 있는 분3 여러 ML DL 기법들에 대한 이해도가 높으신 분4 SQL Python 등 통계 분석 프로그램을 능숙하게 다루시는 분5 데이터 분석 모델링 결과 및 비즈니스 대안을 전공자 관점에서 쉽고 명확하게 전달 가능하신 분,"관련, 전공자, 통계, 수학, 컴퓨터공학, 산업, 공학, 등, 그, 해당, 지식, 분, 모델링, 업무, 경력, 이하, 이신, 분, 추천, 알고리즘, 자연어, 처리, 예측, 모델, 수립, 최적화, 경험, 분, 여러, 기법, 대한, 이해도, 분, 등, 통계, 분석, 프로그램, 분, 데이터, 분석, 모델링, 결과, 및, 비즈니스, 대안, 전공자, 관점, 전달, 분","data, science, ml, dl, nlp, clustering, ml, dl, sql, python",데이터 사이언티스트
데이터 관련 프로젝트 또는 실무 경험을 2년 이상 가지고 계신 분 모바일 서비스 관련 데이터 관련 경험 데이터 분석 및 머신러닝 관련 언어 Python SQL R 등 를 능숙하게 활용하실 수 있는 분 주도적으로 끈질기게 데이터를 살펴서 데이터에 관련된 인사이트를 발굴해내고 이슈를 해결하는 문제 해결 능력을 가지고 계신 분,"데이터, 관련, 프로젝트, 실무, 경험, 이상, 가지, 분, 모바일, 서비스, 관련, 데이터, 관련, 경험, 데이터, 분석, 및, 머신, 러닝, 관련, 언어, 등, 를, 활용, 수, 분, 주도, 데이터, 데이터, 관련, 인사이트, 발굴, 이슈, 해결, 문제, 해결, 능력, 가지, 분","python, sql, r",데이터 사이언티스트
Data Science 관련 통계 컴퓨터공학 산업공학 수학 등 석사 이상 학위 소유자 또는 이에 준하는 관련 분야 경력 3년 이상 Python R SQL 등 데이터 분석 tool 및 Splunk Tableau 등 데이터 시각화 tool 활용 가능하신 분 의료 데이터 분석 경험 있으신 분 의료 분야에 대한 관심과 데이터를 통한 새로운 임상 가치 창출에 열정이 있는 분,"관련, 통계, 컴퓨터공학, 산업, 공학, 수학, 등, 석사, 이상, 학위, 소유자, 이, 준, 관련, 분야, 경력, 이상, 등, 데이터, 분석, 및, 등, 데이터, 시각, 활용, 분, 의료, 데이터, 분석, 경험, 분, 의료, 분야, 대한, 관심, 데이터, 통한, 임, 가치, 창, 열정, 분","data, science, python, r, sql, tool, splunk, tableau, tool",데이터 사이언티스트
